county,stateabbrv,avalanche,coastalflooding,coldwave,drought,earthquake,hail,heatwave,hurricane,icestorm,landslide,lightning,riverineflooding,strongwind,tornado,tsunami,volcano,wildfire,winterweather
Decatur,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Delaware,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Des Moines,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively High,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Dickinson,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Dubuque,IA,Not Applicable,Not Applicable,Very High,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Emmet,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Fayette,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Floyd,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Franklin,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Fremont,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Greene,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Grundy,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Guthrie,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Hamilton,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Hancock,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Hardin,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Harrison,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Henry,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Howard,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Humboldt,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Ida,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Iowa,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Jackson,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Jasper,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Jefferson,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Johnson,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Very High,Relatively High,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Jones,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Keokuk,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Kossuth,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Lee,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Linn,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively High,Relatively High,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Louisa,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Lucas,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Lyon,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Madison,IA,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Mahaska,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Marion,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Marshall,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Mills,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Mitchell,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Monona,IA,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Monroe,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Montgomery,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Muscatine,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
O'Brien,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Osceola,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Very Low,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Page,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Palo Alto,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Plymouth,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Pocahontas,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Polk,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Pottawattamie,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Poweshiek,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Ringgold,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Sac,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Scott,IA,Not Applicable,Not Applicable,Very High,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Shelby,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Very Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Sioux,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively High,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very High
Story,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Tama,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Taylor,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Union,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Van Buren,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Wapello,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Warren,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Washington,IA,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Wayne,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Webster,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Winnebago,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Winneshiek,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Woodbury,IA,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Worth,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Wright,IA,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Allen,KS,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Anderson,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Atchison,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Barber,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Barton,KS,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively High,Relatively Moderate,Not Applicable,Relatively High,Very Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively High
Bourbon,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Brown,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Butler,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Relatively Moderate,Relatively High
Chase,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Chautauqua,KS,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Cherokee,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Cheyenne,KS,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Clark,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Clay,KS,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Cloud,KS,Not Applicable,Not Applicable,Very Low,Very Low,Very Low,Very Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Coffey,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Comanche,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Cowley,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate
Crawford,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Decatur,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Dickinson,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Doniphan,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Douglas,KS,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Edwards,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,No Rating,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Very Low
Elk,KS,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Ellis,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,No Rating,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Ellsworth,KS,Not Applicable,Not Applicable,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Finney,KS,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively High,No Rating,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Ford,KS,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Very Low,Relatively High,No Rating,Not Applicable,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Franklin,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Geary,KS,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively High
Gove,KS,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,No Rating,Not Applicable,Relatively Low,Very Low,Very Low,No Rating,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
